start,end,time,year
12951,41800,1951-03-01,1951
70134,33354,1951-03-01,1951
70134,41800,1952-03-01,1952
70134,44355,1952-03-01,1952
70134,39513,1953-03-01,1953
70134,33260,1953-03-01,1953
12761,70134,1951-03-01,1951
11583,51122,1951-03-01,1951
11583,57044,1951-03-01,1951
41642,11583,1951-03-01,1951
70058,41800,1951-03-01,1951
70058,12951,1951-03-01,1951
70058,13143,1952-03-01,1952
70058,95764,1952-03-01,1952
23861,70058,1951-03-01,1951
57044,51122,1951-03-01,1951
57044,33354,1951-03-01,1951
57797,20764,1951-03-01,1951
55640,12951,1951-03-01,1951
56029,72028,1950-03-01,1950
56029,70187,1950-03-01,1950
56029,41800,1951-03-01,1951
56029,70058,1951-03-01,1951
12111,33354,1951-03-01,1951
94165,51122,1951-03-01,1951
94165,57044,1951-03-01,1951
33260,64600,1951-03-01,1951
33260,39513,1953-03-01,1953
39513,33260,1951-03-01,1951
39513,41781,1951-03-01,1951
95850,39513,1951-03-01,1951
89915,35171,1951-03-01,1951
8520,41781,1951-03-01,1951
35077,17621,1951-03-01,1951
35170,64600,1951-03-01,1951
35170,41480,1951-03-01,1951
35170,54411,1953-03-01,1953
91056,35170,1951-03-01,1951
103810,17895,1951-03-01,1951
92848,64600,1951-03-01,1951
92848,41480,1951-03-01,1951
41480,64600,1951-03-01,1951
41480,17895,1951-03-01,1951
80373,39968,1951-03-01,1951
80373,13093,1951-03-01,1951
89884,80373,1951-03-01,1951
12107,13093,1951-03-01,1951
12107,54529,1953-03-01,1953
12107,109926,1953-03-01,1953
41499,39968,1951-03-01,1951
41499,13093,1951-03-01,1951
36725,80373,1951-03-01,1951
36725,33265,1952-03-01,1952
36725,105983,1952-03-01,1952
12022,36725,1951-03-01,1951
33468,33265,1951-03-01,1951
13066,33468,1951-03-01,1951
12133,88435,1951-03-01,1951
12133,33430,1951-03-01,1951
56442,12133,1951-03-01,1951
88265,36725,1951-03-01,1951
55435,88435,1951-03-01,1951
